DateTime: 20250508_164205
Model: NA
Date,Time,CH0001,CH0002,CH0003,CH0004,CH0005,CH0006,CH0007,CH0008,CH0009,CH0010,CH0101,CH0102,CH0103,CH0104,CH0105,CH0106,CH0107,CH0108,CH0109,CH0110,U(V),I(A),P(W),WP(Wh)
2025-05-08,16:42:05,,,2.1,20.8,20.8,,,,,,,,,,,,,,,,109.93,0.817,46.8,0.006
2025-05-08,16:42:15,,,2.1,20.8,20.8,,,,,,,,,,,,,,,,109.94,0.8165,46.8,0.006
